** CONVERTED FROM ./pi/24JUN071.edf using edfapi 3.0 Linux Sep 22 2008 on Mon Nov 29 11:29:55 2010
** DATE: Mon Nov 15 19:03:16 2010
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** DATE: Thu Jun 24 17:33:18 2010
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.48 Nov 25 2009
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-61N19
** CAMERA_CONFIG: 61N19110.SCD
** REPARSED: EYELINK 1.10 (16/2/96)
**

MSG	13898560 Experiment: test_movieqt.py
MSG	13898560 Display resolution: 800 x 600 pixels
MSG	13899083 RECCFG CR 1000 1 1 R
MSG	13899083 ELCLCFG TOWER
MSG	13899083 GAZE_COORDS 0.00 600.00 800.00 0.00
MSG	13899083 THRESHOLDS R 82 213
MSG	13899083 ELCL_PROC CENTROID (3)
MSG	13899083 ELCL_PCR_PARAM 5 3.0
MSG	13899084 !MODE RECORD CR 1000 1 1 R
START	13899085 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RES	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	VEL	RES	RATE	1000.00	TRACKING	CR	FILTER	1
13899133	  377.7	  312.8	 3683.0	   -2.6	   11.9	  24.10	  25.20	...
13899134	  377.7	  313.5	 3679.0	   -0.9	   10.2	  24.10	  25.20	...
13899135	  378.1	  313.5	 3678.0	   -0.3	    8.9	  24.10	  25.20	...
13899136	  378.6	  313.5	 3676.0	    0.0	    7.7	  24.10	  25.20	...
13899137	  378.6	  314.2	 3667.0	   -0.4	    6.6	  24.10	  25.20	...
13899138	  378.2	  314.2	 3666.0	   -1.0	    6.0	  24.10	  25.20	...
13899139	  378.2	  314.2	 3660.0	   -1.6	    5.2	  24.10	  25.20	...
13899140	  378.2	  314.2	 3657.0	   -1.8	    4.0	  24.10	  25.20	...
13899141	  377.5	  314.7	 3654.0	   -1.9	    2.8	  24.10	  25.20	...
13899142	  377.5	  314.7	 3652.0	   -1.8	    1.9	  24.10	  25.20	...
13899143	  377.5	  314.7	 3649.0	   -1.4	    0.9	  24.10	  25.20	...
13899144	  377.5	  314.6	 3645.0	   -0.8	    0.2	  24.10	  25.20	...
13899145	  377.5	  314.5	 3645.0	    0.0	   -0.5	  24.10	  25.20	...
13899146	  377.5	  314.5	 3635.0	    1.0	   -1.1	  24.10	  25.20	...
13899147	  377.5	  314.6	 3635.0	    1.9	   -1.4	  24.10	  25.20	...
13899148	  377.5	  314.6	 3636.0	    2.6	   -1.5	  24.10	  25.20	...
13899149	  377.7	  314.0	 3636.0	    3.3	   -1.6	  24.10	  25.20	...
